id,name,symbol,rank,price,day_volume,market_cap,p_day_vol,available_supply,total_supply,p_tot_supply,max_supply,p_max_supply,p_change_hour,p_change_day,p_change_week,last_updated,load_date
zcash,Zcash,ZEC,25,287.685,45650600.0,999491409.0,0.0456738292985,3474256.0,3474256.0,1.0,1.0,0,-0.0035,-0.0289,-0.2415,2018-03-14 10:34:08,2018-03-14 10:38:41
populous,Populous,PPT,26,19.1687,8809560.0,709319090.0,0.0124197418682,37004027.0,53252246.0,0.694881996151,53252246.0,0.694881996151,0.0026,0.1013,-0.0284,2018-03-14 10:34:11,2018-03-14 10:38:41
digixdao,DigixDAO,DGD,27,336.89,9851540.0,673780000.0,0.0146213007213,2000000.0,2000000.0,1.0,1.0,0,0.0179,-0.0091,-0.3004,2018-03-14 10:34:07,2018-03-14 10:38:41
steem,Steem,STEEM,28,2.62733,13190600.0,664156512.0,0.0198606800681,252787626.0,269761720.0,0.937077454874,1.0,0,0.0093,0.0487,-0.1854,2018-03-14 10:34:07,2018-03-14 10:38:41
bytecoin-bcn,Bytecoin,BCN,29,0.00309905,4777550.0,569545108.0,0.00838836104971,1.83780548099e+11,1.83780548099e+11,1.0,1.8447e+11,0.996262525609,-0.0105,-0.0389,-0.2149,2018-03-14 10:34:03,2018-03-14 10:38:41
waves,Waves,WAVES,30,5.65266,22751400.0,565266000.0,0.0402490155077,100000000.0,100000000.0,1.0,1.0,0,0.0019,0.0105,-0.0805,2018-03-14 10:34:07,2018-03-14 10:38:41
stratis,Stratis,STRAT,31,5.52052,5331360.0,545293742.0,0.009777042334,98775793.0,98775793.0,1.0,1.0,0,0.0041,0.0129,-0.2455,2018-03-14 10:34:08,2018-03-14 10:38:41
verge,Verge,XVG,32,0.0370501,7209250.0,544861970.0,0.0132313326988,14706086344.0,14706086344.0,1.0,16555000000.0,0.888316903896,0.0123,-0.0069,-0.2485,2018-03-14 10:34:04,2018-03-14 10:38:41
maker,Maker,MKR,33,819.144,748008.0,506417569.0,0.00147705775982,618228.0,1000000.0,0.618228,1.0,0,0.0035,0.0124,-0.1314,2018-03-14 10:34:09,2018-03-14 10:38:41
rchain,RChain,RHOC,34,1.36673,653623.0,491279145.0,0.00133045134656,359455887.0,870663574.0,0.412852791519,1000000000.0,0.359455887,0.0124,0.0546,-0.167,2018-03-14 10:34:15,2018-03-14 10:38:41
status,Status,SNT,35,0.138471,17989200.0,480561361.0,0.0374337211851,3470483788.0,6804870174.0,0.509999999891,1.0,0,0.0009,0.017,-0.1971,2018-03-14 10:34:12,2018-03-14 10:38:41
siacoin,Siacoin,SC,36,0.0140338,4700350.0,463545171.0,0.0101400042414,33030623997.0,33030623997.0,1.0,1.0,0,-0.0076,-0.0132,-0.1997,2018-03-14 10:34:06,2018-03-14 10:38:41
dogecoin,Dogecoin,DOGE,37,0.00399621,5725750.0,453857882.0,0.0126157333101,1.13572080041e+11,1.13572080041e+11,1.0,1.0,0,0.005,-0.0025,-0.1302,2018-03-14 10:34:02,2018-03-14 10:38:41
bitshares,BitShares,BTS,38,0.166368,5501080.0,434345256.0,0.0126652240908,2610750000.0,2610750000.0,1.0,3600570502.0,0.725093425764,0.0082,0.0239,-0.1371,2018-03-14 10:34:03,2018-03-14 10:38:41
augur,Augur,REP,39,38.9158,3752660.0,428073800.0,0.00876638560921,11000000.0,11000000.0,1.0,1.0,0,-0.0026,0.1186,-0.1008,2018-03-14 10:34:06,2018-03-14 10:38:41
decred,Decred,DCR,40,60.868,537372.0,421815623.0,0.00127394996937,6930006.0,7350006.0,0.942857189504,21000000.0,0.330000285714,-0.0046,0.0216,-0.1704,2018-03-14 10:34:06,2018-03-14 10:38:41
aeternity,Aeternity,AE,41,1.75528,2215620.0,409016174.0,0.00541694959965,233020472.0,273685830.0,0.851415917295,1.0,0,0.0058,-0.0041,-0.1714,2018-03-14 10:34:11,2018-03-14 10:38:41
waltonchain,Waltonchain,WTC,42,15.6595,7138910.0,389893018.0,0.0183099200817,24898178.0,70000000.0,0.355688257143,100000000.0,0.24898178,-0.011,-0.0234,-0.3427,2018-03-14 10:34:14,2018-03-14 10:38:41
komodo,Komodo,KMD,43,3.59542,1526700.0,374013016.0,0.00408194350113,104024847.0,104024847.0,1.0,1.0,0,0.008,-0.0018,-0.0719,2018-03-14 10:34:10,2018-03-14 10:38:41
bytom,Bytom,BTM,44,0.376629,11932300.0,371732823.0,0.0320991294331,987000000.0,1407000000.0,0.701492537313,1.0,0,0.0068,0.0259,-0.086,2018-03-14 10:34:12,2018-03-14 10:38:41
ardor,Ardor,ARDR,45,0.361723,10278200.0,361361094.0,0.0284430177201,998999495.0,998999495.0,1.0,998999495.0,1.0,0.0088,0.241,-0.0471,2018-03-14 10:34:07,2018-03-14 10:38:41
ark,Ark,ARK,46,3.52523,2751660.0,356815588.0,0.00771171465749,101217676.0,132467676.0,0.764093392867,1.0,0,-0.004,0.0482,-0.068,2018-03-14 10:34:10,2018-03-14 10:38:41
electroneum,Electroneum,ETN,47,0.053098,3190520.0,340710670.0,0.00936430901915,6416638478.0,6416638478.0,1.0,21000000000.0,0.305554213238,-0.0633,0.1615,-0.1646,2018-03-14 10:34:16,2018-03-14 10:38:41
veritaseum,Veritaseum,VERI,48,162.303,405811.0,330553665.0,0.00122767055086,2036645.0,100000000.0,0.02036645,1.0,0,-0.0006,0.0387,-0.1664,2018-03-14 10:34:11,2018-03-14 10:38:41
zilliqa,Zilliqa,ZIL,49,0.0474841,13163800.0,313648006.0,0.041969978282,6605326966.0,12600000000.0,0.524232298889,1.0,0,-0.0307,0.0321,0.0024,2018-03-14 10:34:20,2018-03-14 10:38:41
0x,0x,ZRX,50,0.60183,5844710.0,311143790.0,0.0187845947367,516996145.0,1000000000.0,0.516996145,1.0,0,-0.0012,-0.045,-0.236,2018-03-14 10:34:13,2018-03-14 10:38:41
kucoin-shares,KuCoin Shares,KCS,51,3.34971,737757.0,304967902.0,0.00241912999749,91043076.0,181043076.0,0.50288073983,1.0,0,-0.0023,0.0122,0.0097,2018-03-14 10:34:16,2018-03-14 10:38:41
